COD_URB,ISO_A3,NAM_1,COD_1,NAM_URB,NAM_0
2905,SAU,Najrān,SAU012,Najran,Saudi Arabia
2906,SOM,Togdheer,SOM017,Burao,Somalia
2907,UZB,Tashkent,UZB013,Tashkent,Uzbekistan
2908,AFG,Ghor,AFG010,Firozkoh,Afghanistan
2909,KAZ,Almatinskaya,KAZ003,Taldykorgan,Kazakhstan
2915,THA,Nakhon Si Thammarat,THA030,Nakhon Si Thammarat,Thailand
2917,VNM,Thanh Hoa,VNM056,Thanh Hoá,Vietnam
2920,KOR,Taegu,KOR014,Daegu,South Korea
2921,JPN,Hirosima,JPN007,Hiroshima,Japan
2925,MEX,Colima,MEX006,Colima,México
2926,GTM,Izabal,GTM009,Puerto Barrios,Guatemala
2927,ECU,Napo,ECU015,Tena,Ecuador
2928,COL,Huila,COL019,Neiva,Colombia
2930,VEN,Cojedes,VEN008,San Carlos,Venezuela
2944,DEU,Hessen,DEU007,Wiesbaden,Germany
2953,UKR,Kirovohrads'ka,UKR011,Kropyvnytskyi,Ukraine
2956,RUS,Moskovskaya Oblast,RUS047,Podolsk,Russia
2959,TZA,Ruvuma,TZA025,Songea,Tanzania
2962,IRQ,Al-Anbar,IRQ001,Fallujah,Iraq
2963,KEN,Garissa,KEN007,Garissa,Kenya
2964,IRN,Ardebil,IRN001,Ardabil,Iran
2965,YEM,Hajjah,YEM012,Hajja,Yemen
2967,SOM,Shabelle Hoose,SOM015,Mogadishu,Somalia
2973,CHN,Xinjiang Uygur Zizhiqu,CHN028,Hami,China
2976,THA,Chachoengsao,THA005,Chachoengsao,Thailand
2978,VNM,Ninh Binh,VNM042,Ninh Bình,Vietnam
2979,MYS,Johor,MYS001,Johor Bahru,Malaysia
2989,PER,Junín,PER012,Huancayo,Peru
2994,BRA,Amapa,BRA003,Macapá,Brazil
2996,CIV,Abidjan,CIV024,Abidjan,Côte d'Ivoire
2997,ESP,Castilla y León,ESP006,Valladolid,Spain
3000,FRA,Picardie,FRA020,Amiens,France
3002,NGA,Oyo,NGA031,Oyo,Nigeria
3005,ITA,Toscana,ITA016,Florence,Italy
3008,POL,Slaskie,POL012,Katowice,Poland
3013,UKR,Mykolayivs'ka,UKR015,Mykolaiv,Ukraine
3015,SDN,Southern Darfur,SDN012,Ad Da'ein,Sudan
3017,EGY,Menoufia,EGY018,Al Shuhada,Egypt
3019,TZA,Iringa,TZA005,Iringa,Tanzania
3026,SAU,Ar Riyāḍ,SAU007,Riyadh,Saudi Arabia
3029,AFG,Hilmand,AFG011,Lashkar Gah,Afghanistan
3032,IND,Rajasthan,IND029,Barmer,India
3036,THA,Chonburi,THA011,Pattaya,Thailand
3040,MYS,Sarawak,MYS013,Kuching,Malaysia
3045,USA,California,USA005,Escondido,United States
3049,PER,Ucayali,PER025,Pucallpa,Peru
3052,CHL,Araucania,CHL003,Temuco,Chile
3058,GBR,England,GBR002,Bristol,United Kingdom
3062,NGA,Ogun,NGA028,Ijebu-Ode,Nigeria
3063,NLD,Limburg,NLD006,Maastricht,Netherlands
3065,ITA,Emilia-romagna,ITA005,Bologna,Italy
3066,NER,Diffa,NER002,Diffa,Niger
3077,EGY,Fayoum,EGY009,Sanhur,Egypt
3078,SYR,Dayr az Zawr,SYR007,Deir Ez Zor,Syria
3079,TZA,Dodoma,TZA003,Dodoma,Tanzania
3082,IRQ,Baghdad,IRQ008,Al Mushahidah,Iraq
3084,IRN,Kermanshah,IRN015,Kermanshah,Iran
3086,SAU,Ar Riyāḍ,SAU007,Zahrat Laban,Saudi Arabia
3087,SOM,Shabelle Dhexe,SOM014,Jowhar,Somalia
3090,PAK,Sindh,PAK007,Dadu,Pakistan
3096,IDN,Sumatera Barat,IDN003,Padang,Indonesia
3097,VNM,Lang Son,VNM037,Lạng Sơn,Vietnam
3104,USA,California,USA005,Bakersfield,United States
3105,MEX,Jalisco,MEX014,Guadalajara,México
3107,COL,Tolima,COL030,Ibagué,Colombia
3109,VEN,Carabobo,VEN007,Valencia,Venezuela
3112,ARG,Santa Fe,ARG021,Santa Fe,Argentina
3115,ESP,Andalucía,ESP002,Málaga,Spain
3120,DZA,Tipaza,DZA045,Koléa,Algeria
3122,NLD,Gelderland,NLD004,Arnhem,Netherlands
3128,AGO,Uíge,AGO017,Uíge,Angola
3129,COD,Sud-Ubangi,COD029,Gemena,Democratic Republic of the Congo
3130,TUR,Bursa,TUR021,Bursa,Turkey
3136,SYR,Al Ḥasakah,SYR001,Al-Hasakah,Syria
3146,UZB,Sirdarya,UZB011,Gulistan,Uzbekistan
3153,THA,Phachinburi,THA038,Prachin Buri,Thailand
3154,IDN,Sumatera Barat,IDN003,Bukittinggi,Indonesia
3155,VNM,Nam Dinh,VNM040,Nam Định,Vietnam
3158,KOR,Cheju-do,KOR001,Jeju-si,South Korea
3166,VEN,Amazonas,VEN001,Puerto Ayacucho,Venezuela
3171,MAR,Rabat-Salé-Kénitra,MAR009,Kenitra,Morocco
3175,GHA,Greater Accra,GHA005,Accra,Ghana
3177,DZA,Medea,DZA028,Medea,Algeria
3180,DEU,Bremen,DEU005,Bremen,Germany
3183,POL,Lodzkie,POL003,Lodz,Poland
3184,AGO,Cunene,AGO008,Ondjiva,Angola
3191,EGY,Gharbia,EGY010,Tanta,Egypt
3193,TZA,Arusha,TZA001,Arusha,Tanzania
3208,MMR,Ayeyarwady,MMR001,Pathein,Myanmar
3209,THA,Phatthalung,THA040,Phatthalung,Thailand
3215,JPN,Ooita,JPN031,Oita,Japan
3220,COL,Córdoba,COL015,Sahagún,Colombia
3221,PER,Loreto,PER016,Iquitos,Peru
3223,CAN,Ontario,CAN009,Oshawa,Canada
3224,CHL,Los Lagos,CHL009,Puerto Montt,Chile
3228,CIV,Comoé,CIV026,Abengourou,Côte d'Ivoire
3238,CMR,Extrême - Nord,CMR004,Maroua,Cameroon
3244,UKR,Khersons'ka,UKR009,Kherson,Ukraine
3254,IRN,Zanjan,IRN028,Zanjan,Iran
3259,AFG,Balkh,AFG004,Mazar i sharif,Afghanistan
3262,CHN,Xizang Zizhiqu,CHN029,Lhasa,China
3268,PRK,Yanggang-do,PRK011,Hyesan,North Korea
3269,KOR,Kyongsangbuk-do,KOR010,Pohang-si,South Korea
3273,USA,California,USA005,Riverside,United States
3274,MEX,Durango,MEX010,Durango,México
3275,COL,Bolívar,COL007,Cartagena,Colombia
3280,ARG,Chaco,ARG004,Resistencia,Argentina
3284,CIV,Comoé,CIV026,Aboisso,Côte d'Ivoire
3288,DZA,Blida,DZA010,Blida,Algeria
3289,NGA,Ogun,NGA028,Ijebu-Igbo,Nigeria
3290,NLD,Overijssel,NLD009,Zwolle,Netherlands
3291,DEU,Baden-Wuerttemberg,DEU001,Karlsruhe,Germany
3294,POL,Slaskie,POL012,Sosnowiec,Poland
3299,UKR,Dnipropetrovs'ka,UKR005,Kryvyi Rih,Ukraine
3302,EGY,Menoufia,EGY018,Sers Al Layyan,Egypt
3303,SYR,Al Ḥasakah,SYR001,Qamishli,Syria
3305,TZA,Kilimanjaro,TZA011,Moshi,Tanzania
3306,MOZ,Nampula,MOZ007,Nampula,Mozambique
3307,IRQ,Baghdad,IRQ008,Baghdad,Iraq
3315,PAK,Khyber Pakhtunkhwa,PAK005,Bannu,Pakistan
3320,THA,Udon Thani,THA072,Udon Thani,Thailand
3324,KOR,Kyongsangnam-do,KOR011,Changwon,South Korea
3330,COL,Sucre,COL029,Sincelejo,Colombia
3331,PER,Ayacucho,PER005,Ayacucho,Peru
3334,ARG,Entre Rios,ARG008,Paraná,Argentina
3335,CHL,Magallanes y Antartica chilena,CHL011,Punta Arenas,Chile
3338,ESP,Comunidad de Madrid,ESP011,Madrid,Spain
3340,GBR,England,GBR002,Manchester,United Kingdom
3346,DEU,Baden-Wuerttemberg,DEU001,Mannheim,Germany
3350,AGO,Huambo,AGO009,Huambo,Angola
3354,UKR,Sums'ka,UKR019,Sumy,Ukraine
3360,TZA,Morogoro,TZA019,Morogoro,Tanzania
3370,PAK,Sindh,PAK007,Jacobabad,Pakistan
3375,THA,Nakhon Ratchasima,THA028,Nakhon Ratchasima,Thailand
3380,MYS,Sabah,MYS012,Kota Kinabalu,Malaysia
3381,JPN,Kagosima,JPN017,Kagoshima,Japan
3382,PHL,Region IV-A (CALABARZON),PHL004,Binangonan,Philippines
3383,USA,California,USA005,Stockton,United States
3386,PER,Cusco,PER008,Cusco,Peru
3387,VEN,Aragua,VEN004,Maracay,Venezuela
3389,ARG,Corrientes,ARG007,Corrientes,Argentina
3390,BRA,Parana,BRA020,Cascavel,Brazil
3393,CIV,Zanzan,CIV037,Bondoukou,Côte d'Ivoire
3395,GHA,Eastern,GHA004,Koforidua,Ghana
3397,DZA,Alger,DZA004,Algiers,Algeria
3400,DEU,Hessen,DEU007,Frankfurt,Germany
3406,TUR,Mugla,TUR058,Muğla,Turkey
3408,UKR,Poltavs'ka,UKR017,Poltava,Ukraine
3422,UZB,Surkhandarya,UZB012,Termez,Uzbekistan
3429,THA,Songkhla,THA063,Hat Yai,Thailand
3436,PHL,Region IV-A (CALABARZON),PHL004,Batangas City,Philippines
3437,USA,California,USA005,Modesto,United States
3440,PER,Arequipa,PER004,Arequipa,Peru
3446,ESP,Andalucía,ESP002,Granada,Spain
3449,FRA,Nord-Pas-de-Calais,FRA018,Lille,France
3450,DZA,Laghouat,DZA025,Laghouat,Algeria
3451,NGA,Kebbi,NGA022,Birnin Kebbi,Nigeria
3452,NLD,Groningen,NLD005,Groningen,Netherlands
3464,EGY,Menoufia,EGY018,Shibin Al-Kom,Egypt
3465,ETH,Amhara,ETH003,Gonder,Ethiopia
3468,IRQ,Kerbala,IRQ012,Karbala,Iraq
3472,SAU,Ash Sharqīyah,SAU008,Al Ahsa,Saudi Arabia
3486,MYS,Sabah,MYS012,Sandakan,Malaysia
3487,JPN,Hirosima,JPN007,Fukuyama,Japan
3494,CAN,Ontario,CAN009,Ottawa,Canada
3509,AGO,Malanje,AGO014,Malanje,Angola
3510,COD,Kasaï,COD018,Ilebo,Democratic Republic of the Congo
3512,ZAF,Gauteng,ZAF003,Johannesburg,South Africa
3513,RUS,Kurskaya Oblast,RUS041,Kursk,Russia
3517,ETH,Amhara,ETH003,Bahir Dar,Ethiopia
3519,IRQ,Baghdad,IRQ008,Jafar Muhammad Ali,Iraq
3522,IRN,Hamedan,IRN011,Hamedan,Iran
3528,PAK,Sindh,PAK007,Larkana,Pakistan
3534,IDN,Riau,IDN004,Duri,Indonesia
3536,PRK,P'yongan-namdo,PRK009,Pyŏngsŏng,North Korea
3538,MYS,Sabah,MYS012,Tawau,Malaysia
3540,PHL,Region IV-A (CALABARZON),PHL004,Lipa,Philippines
3544,PER,Moquegua,PER018,Moquegua,Peru
3547,ARG,Santa Fe,ARG021,Rosario,Argentina
3555,NGA,Osun,NGA030,Iwo,Nigeria
3562,COD,Kasaï,COD018,Tshikapa,Democratic Republic of the Congo
3563,TUR,Kocaeli,TUR052,Kocaeli,Turkey
3564,ZAF,Gauteng,ZAF003,Evaton,South Africa
3570,TZA,Dar-es-salaam,TZA002,Dar es-Salaam,Tanzania
3576,SAU,Ash Sharqīyah,SAU008,Dammam,Saudi Arabia
3582,BGD,Rajshahi,BGD006,Lalpur,Bangladesh
3585,THA,Khon Kaen,THA016,Khon Kaen,Thailand
3586,IDN,Riau,IDN004,Pekanbaru,Indonesia
3589,KOR,Kyongsangnam-do,KOR011,Gimhae,South Korea
3596,PER,Puno,PER021,Juliaca,Peru
3605,FRA,Auvergne,FRA004,Clermont-Ferrand,France
3610,ITA,Veneto,ITA020,Venice,Italy
3613,AGO,Bié,AGO003,Cuito,Angola
3616,ZAF,Gauteng,ZAF003,Lenasia,South Africa
3617,RUS,Tulskaya Oblast,RUS077,Tula,Russia
3618,UKR,Dnipropetrovs'ka,UKR005,Dnipro,Ukraine
3622,TZA,Tanga,TZA030,Tanga,Tanzania
3624,MOZ,Cabo Delgado,MOZ001,Pemba,Mozambique
3627,IRN,Gilan,IRN009,Rasht,Iran
3629,SOM,Mudug,SOM011,Galkayo,Somalia
3637,THA,Chanthaburi,THA008,Tha Chang,Thailand
3642,JPN,Ehime,JPN004,Matsuyama,Japan
3644,PHL,Region IV-A (CALABARZON),PHL004,San Pablo,Philippines
3648,PER,Puno,PER021,Puno,Peru
3649,VEN,Guarico,VEN013,San Juan de Los Morros,Venezuela
3651,ARG,Formosa,ARG009,Formosa,Argentina
3662,POL,Malopolske,POL006,Krakow,Poland
3666,TUR,Denizli,TUR025,Denizli,Turkey
3668,RUS,Yaroslavskaya Oblast,RUS089,Yaroslavl,Russia
3669,UKR,Crimea,UKR004,Sevastopol,Ukraine
3673,TZA,Mjini Magharibi,TZA018,Zanzibar City,Tanzania
3675,MOZ,Nampula,MOZ007,Nacala,Mozambique
3684,IND,Gujarat,IND012,Morbi,India
3687,MMR,Naypyidaw,MMR010,Pyinmana [Nay Pyi Taw],Myanmar
3688,THA,Maha Sarakham,THA023,Maha Sarakham,Thailand
3689,IDN,Riau,IDN004,Dumai,Indonesia
3698,PER,Madre de Dios,PER017,Puerto Maldonado,Peru
3700,CAN,Quebec / Québec,CAN011,Montreal,Canada
3709,NGA,Oyo,NGA031,Ogbomosho,Nigeria
3712,POL,Mazowieckie,POL007,Warsaw,Poland
3713,AGO,Cuando Cubango,AGO005,Menongue,Angola
3723,TZA,Mtwara,TZA020,Mtwara,Tanzania
3732,IND,Gujarat,IND012,Junagadh,India
3736,THA,Pattani,THA037,Pattani,Thailand
3739,PRK,P'yongyang-si,PRK010,P'yŏngyang,North Korea
3746,PER,Tacna,PER023,Tacna,Peru
3747,VEN,Miranda,VEN016,San Antonio de los Altos [Los Teques],Venezuela
3756,FRA,Champagne-Ardenne,FRA009,Reims,France
3759,ITA,Umbria,ITA018,Perugia,Italy
3763,TUR,Usak,TUR076,Uşak,Turkey
3766,UKR,Zaporiz'ka,UKR024,Zaporizhzhia,Ukraine
3770,IRQ,Diyala,IRQ009,Baqubah,Iraq
3774,SOM,Nugaal,SOM012,Garoowe,Somalia
3780,CHN,Qinghai Sheng,CHN021,Xining,China
3782,THA,Kalasin,THA013,Kalasin,Thailand
3784,VNM,Thai Binh,VNM054,Thái Bình,Vietnam
3792,VEN,Vargas,VEN023,Catia La Mar [La Guaira],Venezuela
3801,FRA,Languedoc-Rousillon,FRA014,Montpellier,France
3805,POL,Swietokrzyskie,POL013,Kielce,Poland
3806,AGO,Moxico,AGO015,Luena,Angola
3808,TUR,Bilecik,TUR016,Bilecik,Turkey
3809,ZAF,Gauteng,ZAF003,Soshanguve,South Africa
3811,UKR,Kharkivs'ka,UKR008,Kharkiv,Ukraine
3816,KEN,Mandera,KEN024,El Wak,Kenya
3818,IRN,Lorestan,IRN020,Khorramabad,Iran
3819,SOM,Bari,SOM004,Bosaso,Somalia
3821,UZB,Fergana,UZB003,Qoqand,Uzbekistan
3823,IND,Gujarat,IND012,Rajkot,India
3827,THA,Yala,THA075,Yala,Thailand
3829,VNM,Nghe An,VNM041,Vinh,Vietnam
3831,KOR,Kyongsangnam-do,KOR011,Ulsan,South Korea
3837,VEN,Distrito Capital,VEN011,Caracas,Venezuela
3843,GBR,England,GBR002,Stoke-on-Trent,United Kingdom
3844,GHA,Volta,GHA009,Ho,Ghana
3845,DZA,Alger,DZA004,Boumerdes,Algeria
3856,UKR,Crimea,UKR004,Simferopol,Ukraine
3858,SDN,Northern Kordofan,SDN009,Al-Ubayyid,Sudan
3860,IRQ,Babil,IRQ007,Al Hillah,Iraq
3863,IRN,Hamedan,IRN011,Famenin,Iran
3869,BGD,Rajshahi,BGD006,Bogura,Bangladesh
3872,THA,Buriram,THA004,Buri Ram,Thailand
3874,VNM,Haiphong,VNM026,Hải Phòng,Vietnam
3880,MEX,Michoacán de Ocampo,MEX016,Uruapan,México
3881,COL,"Bogotá, D.C.",COL006,Bogota,Colombia
3886,MAR,Tanger-Tétouan-Al Hoceima,MAR011,Tangier,Morocco
3888,GBR,England,GBR002,Birmingham,United Kingdom
3890,DZA,Djelfa,DZA016,Djelfa,Algeria
3896,AGO,Lunda Sul,AGO013,Saurimo,Angola
3905,IRQ,Al-Sulaymaniyah,IRQ006,Sulaymaniyah,Iraq
3909,AFG,Kandahar,AFG015,Kandahar,Afghanistan
3916,THA,Roi Et,THA053,Roi Et,Thailand
3921,JPN,Okayama,JPN029,Okayama,Japan
