COD_URB,ISO_A3,NAM_1,COD_1,NAM_URB,NAM_0
6076,JPN,Sizuoka,JPN037,Numazu,Japan
6087,IRN,Golestan,IRN010,Gorgan,Iran
6090,BGD,Chattogram,BGD002,Dhaka,Bangladesh
6091,CHN,Sichuan Sheng,CHN026,Dujiangyan,China
6092,VNM,Khanh Hoa,VNM032,Nha Trang,Vietnam
6106,PAK,Khyber Pakhtunkhwa,PAK005,Swabi,Pakistan
6109,CHN,Sichuan Sheng,CHN026,Ya'an,China
6111,IDN,Jawa Barat,IDN012,Indramayu,Indonesia
6115,BRA,Minas Gerais,BRA013,Uberlândia,Brazil
6120,TUR,Giresun,TUR033,Giresun,Turkey
6125,IND,Haryana,IND013,Sirsa,India
6131,MEX,Nuevo León,MEX019,Monterrey,México
6141,IRN,Fars,IRN006,Shiraz,Iran
6143,IND,Gujarat,IND012,Ahmedabad,India
6155,EGY,Beni Suef,EGY005,Al-Wasitah,Egypt
6167,USA,Texas,USA044,Houston,United States
6173,TUR,Gaziantep,TUR032,Gaziantep,Turkey
6178,IND,Gujarat,IND012,Bhavnagar,India
6181,IDN,Jawa Barat,IDN012,Cirebon,Indonesia
6183,MEX,Oaxaca,MEX020,Oaxaca de Juárez,México
6200,MEX,Veracruz de Ignacio de la Llave,MEX030,Orizaba,México
6201,USA,Texas,USA044,Edgecliff Village,United States
6205,COD,Haut-Lomami,COD015,Mulongo,Democratic Republic of the Congo
6207,TUR,Malatya,TUR055,Malatya,Turkey
6209,ETH,Oromia,ETH008,Bishoftu,Ethiopia
6214,CHN,Shaanxi Sheng,CHN022,Yulin,China
6215,IDN,Jawa Barat,IDN012,Kuningan,Indonesia
6217,MEX,Tamaulipas,MEX028,Ciudad Victoria,México
6229,IND,Punjab,IND028,Ludhiana,India
6237,GBR,England,GBR002,Southend-on-Sea,United Kingdom
6241,TUR,Adiyaman,TUR002,Adıyaman,Turkey
6252,USA,Texas,USA044,North Richland Hills,United States
6257,EGY,Shrkia,EGY024,Mit Habib,Egypt
6261,IRN,Fars,IRN006,Kavar,Iran
6269,USA,Texas,USA044,Arlington,United States
6273,COD,Tanganyika,COD030,Kongolo,Democratic Republic of the Congo
6275,TUR,Trabzon,TUR074,Trabzon,Turkey
6276,RUS,Samarskaya Oblast,RUS066,Тимофеевка,Russia
6277,ETH,Tigray,ETH013,Mek'elē,Ethiopia
6285,USA,Texas,USA044,The Woodlands,United States
6288,NGA,Niger,NGA027,Bida,Nigeria
6297,BGD,Dhaka,BGD003,Kishoreganj,Bangladesh
6311,PAK,Punjab,PAK006,Hazro,Pakistan
6320,NGA,Delta,NGA010,Ughelli,Nigeria
6321,COD,Haut-Katanga,COD014,Lubumbashi,Democratic Republic of the Congo
6323,TUR,Erzincan,TUR029,Erzincan,Turkey
6339,TUR,Elazig,TUR028,Elazığ,Turkey
6340,RUS,Kabardino-balkariya Rep.,RUS022,Nalchik,Russia
6350,BRA,Parana,BRA020,Curitiba,Brazil
6371,TUR,Sanliurfa,TUR067,Şanlıurfa,Turkey
6375,PAK,Punjab,PAK006,Dera Ghazi Khan,Pakistan
6378,CHN,Sichuan Sheng,CHN026,Chengdu,China
6379,IDN,Jawa Tengah,IDN013,Cilacap,Indonesia
6394,CHN,Sichuan Sheng,CHN026,Wenjiang,China
6396,MEX,Veracruz de Ignacio de la Llave,MEX030,Xalapa,México
6397,USA,Texas,USA044,Dallas,United States
6404,ETH,Oromia,ETH008,Asella,Ethiopia
6412,USA,Texas,USA044,Lewisville,United States
6417,TUR,Rize,TUR064,Rize,Turkey
6418,RUS,Samarskaya Oblast,RUS066,Samara,Russia
6424,CHN,Shaanxi Sheng,CHN022,Shenmu,China
6430,COD,Tanganyika,COD030,Manono,Democratic Republic of the Congo
6433,RUS,Udmurtiya Rep.,RUS081,Izhevsk,Russia
6441,MEX,Tamaulipas,MEX028,Tampico,México
6448,RUS,Tatarstan Rep.,RUS074,Naberezhnye Chelny,Russia
6449,ETH,Oromia,ETH008,Adama,Ethiopia
6454,CHN,Nei Mongol Zizhiqu,CHN019,Xilinhot,China
6463,RUS,Severnaya Osetiya-alaniya Rep.,RUS069,Vladikavkaz,Russia
6474,NGA,Kogi,NGA023,Okene,Nigeria
6477,TUR,Diyarbakir,TUR026,Diyarbakir,Turkey
6478,RUS,Ingushetiya Rep.,RUS019,Nazran,Russia
6485,IDN,Jawa Tengah,IDN013,Tegal,Indonesia
6488,BRA,Minas Gerais,BRA013,Uberaba,Brazil
6489,NGA,Delta,NGA010,Agbor,Nigeria
6490,COD,Haut-Katanga,COD014,Kasumbalesa,Democratic Republic of the Congo
6492,TUR,Bingol,TUR017,Bingöl,Turkey
6498,BGD,Dhaka,BGD003,Shariatpur,Bangladesh
6501,MEX,Veracruz de Ignacio de la Llave,MEX030,Veracruz,México
6515,IDN,Jawa Tengah,IDN013,Purwokerto,Indonesia
6517,USA,Oklahoma,USA037,Oklahoma City,United States
6525,IRN,Fars,IRN006,Sarvestan,Iran
6540,IRN,Fars,IRN006,Kharameh,Iran
6544,CHN,Sichuan Sheng,CHN026,Xichang,China
6545,IDN,Jawa Tengah,IDN013,Pemalang,Indonesia
6556,PAK,Sindh,PAK007,Mirpur Khas,Pakistan
6566,EGY,Shrkia,EGY024,Bilbeis,Egypt
6567,TUR,Mardin,TUR057,Mardin,Turkey
6568,RUS,Yamalo-nenetskiy Okrug,RUS088,Salekhard,Russia
6571,PAK,Punjab,PAK006,Taxila,Pakistan
6577,USA,Oklahoma,USA037,Tulsa,United States
6580,COD,Haut-Katanga,COD014,Kilwa,Democratic Republic of the Congo
6585,IRN,Yazd,IRN027,Yazd,Iran
6586,PAK,Punjab,PAK006,Sadiqabad,Pakistan
6591,MEX,Tamaulipas,MEX028,Nuevo Laredo,México
6592,USA,Louisiana,USA019,Baton Rouge,United States
6593,BRA,Sao Paulo,BRA029,Ribeirao Preto,Brazil
6597,TUR,Batman,TUR014,Batman,Turkey
6598,RUS,Chechnya Rep.,RUS012,Grozny,Russia
6602,IND,Gujarat,IND012,Nadiad,India
6604,CHN,Sichuan Sheng,CHN026,Deyang,China
6607,USA,Louisiana,USA019,New Orleans,United States
6612,TUR,Mus,TUR059,Muş,Turkey
6620,IDN,Jawa Tengah,IDN013,Kebumen,Indonesia
6621,MEX,Tamaulipas,MEX028,Reynosa,México
6622,USA,Arkansas,USA004,Little Rock,United States
6630,IRN,Khorasan,IRN016,Bojnurd,Iran
6635,IDN,Jawa Tengah,IDN013,Pekalongan,Indonesia
6639,NGA,Bayelsa,NGA006,Yenagoa,Nigeria
6641,EGY,Damietta,EGY008,Damietta,Egypt
6644,ETH,Amhara,ETH003,Dessie,Ethiopia
6646,PAK,Punjab,PAK006,Rahim Yar Khan,Pakistan
6648,BGD,Dhaka,BGD003,Bajitpur,Bangladesh
6652,USA,Nebraska,USA028,Lincoln,United States
6657,TUR,Siirt,TUR068,Siirt,Turkey
6661,PAK,Khyber Pakhtunkhwa,PAK005,Haripur,Pakistan
6662,IND,Gujarat,IND012,Anand,India
6663,BGD,Dhaka,BGD003,Brahmanbaria,Bangladesh
6664,CHN,Sichuan Sheng,CHN026,Mianyang,China
6668,BRA,Santa Catarina,BRA028,Joinville,Brazil
6681,MEX,Veracruz de Ignacio de la Llave,MEX030,Coatzacoalcos,México
6687,TUR,Kars,TUR045,Kars,Turkey
6692,IND,Rajasthan,IND029,Udaipur,India
6695,IDN,Kalimantan Barat,IDN020,Pontianak,Indonesia
6696,MEX,Tamaulipas,MEX028,Matamoros,México
6697,USA,Missouri,USA026,Kansas City,United States
6702,TUR,Agri,TUR004,Ağrı,Turkey
6704,ETH,Amhara,ETH003,Kombolcha,Ethiopia
6706,PAK,Khyber Pakhtunkhwa,PAK005,Mansehra,Pakistan
6718,RUS,Astrakhanskaya Oblast,RUS007,Astrakhan,Russia
6723,BGD,Barishal,BGD001,Barishal,Bangladesh
6725,IDN,Jawa Tengah,IDN013,Wonosobo,Indonesia
6726,MEX,Chiapas,MEX007,Tuxtla Gutiérrez,México
6727,USA,Nebraska,USA028,Omaha,United States
6743,BRA,Sao Paulo,BRA029,Franca,Brazil
6745,COD,Sud-Kivu,COD011,Bukavu,Democratic Republic of the Congo
6756,MEX,Chiapas,MEX007,Tapachula,México
6757,USA,Tennessee,USA043,Memphis,United States
6761,EGY,Shrkia,EGY024,Al Abbasa al Sharqiya,Egypt
6766,PAK,Federal Capital Territory,PAK003,Islamabad,Pakistan
6769,CHN,Sichuan Sheng,CHN026,Emeishan,China
6776,EGY,Assiut,EGY002,Asyut,Egypt
6784,CHN,Sichuan Sheng,CHN026,Panzhihua,China
6785,IDN,Jawa Tengah,IDN013,Semarang,Indonesia
6791,EGY,Shrkia,EGY024,Faqous,Egypt
6792,TUR,Van,TUR077,Van,Turkey
6798,BGD,Chattogram,BGD002,Chandpur,Bangladesh
6799,CHN,Nei Mongol Zizhiqu,CHN019,Ulanqab,China
6801,MEX,Tabasco,MEX027,Villahermosa,México
6804,NGA,Niger,NGA027,Minna,Nigeria
6811,PAK,Khyber Pakhtunkhwa,PAK005,Abbottabad,Pakistan
6815,IDN,Jawa Tengah,IDN013,Magelang,Indonesia
6817,USA,Iowa,USA016,Des Moines,United States
6818,BRA,Sao Paulo,BRA029,Piracicaba,Brazil
6826,PAK,Punjab,PAK006,Muzaffargarh,Pakistan
6829,CHN,Sichuan Sheng,CHN026,Longquanyi,China
6832,USA,Alabama,USA001,Montgomery,United States
6833,BRA,Santa Catarina,BRA028,Itajaí,Brazil
6837,TUR,Hakkari,TUR035,Hakkâri,Turkey
6841,PAK,Punjab,PAK006,Joharabad,Pakistan
6844,CHN,Sichuan Sheng,CHN026,Meishan,China
6845,IDN,Daerah Istimewa Yogyakarta,IDN014,Yogyakarta,Indonesia
6850,EGY,Dakahlia,EGY007,Al-Asafra,Egypt
6861,MEX,Campeche,MEX004,Campeche,México
6867,RUS,Dagestan Rep.,RUS017,Makhachkala,Russia
6870,PAK,Punjab,PAK006,Khanpur,Pakistan
6875,MEX,Yucatán,MEX031,Mérida,México
6876,USA,Missouri,USA026,St. Louis,United States
6897,IRN,Khorasan,IRN016,Mashhad,Iran
6903,MEX,Quintana Roo,MEX023,Chetumal,México
6904,USA,Florida,USA010,Saint Petersburg,United States
6906,NGA,Zamfara,NGA037,Gusau,Nigeria
6910,ETH,Oromia,ETH008,Goba,Ethiopia
6911,IRN,Kerman,IRN014,Kerman,Iran
6912,PAK,Punjab,PAK006,Multan,Pakistan
6913,IND,Gujarat,IND012,Surat,India
6920,NGA,Kogi,NGA023,Lokoja,Nigeria
6921,COD,Tanganyika,COD030,Kalemie,Democratic Republic of the Congo
6934,NGA,Delta,NGA010,Asaba,Nigeria
6935,COD,Sud-Kivu,COD011,Uvira,Democratic Republic of the Congo
6937,RUS,Bashkortostan Rep.,RUS008,Ufa,Russia
6943,CHN,Shaanxi Sheng,CHN022,Baoji,China
6949,COD,Nord-Kivu,COD009,Goma,Democratic Republic of the Congo
6955,IND,Haryana,IND013,Hisar,India
6958,IDN,Jawa Tengah,IDN013,Surakarta,Indonesia
6959,MEX,Quintana Roo,MEX023,Cancún,México
6961,BRA,Santa Catarina,BRA028,Florianópolis,Brazil
6967,IRN,Hormozgan,IRN012,Bandar Abbas,Iran
6971,CHN,Sichuan Sheng,CHN026,Leshan,China
6973,USA,Florida,USA010,Cape Coral,United States
6974,BRA,Sao Paulo,BRA029,Limeira,Brazil
6977,EGY,Assiut,EGY002,Sidfa,Egypt
6990,EGY,Port Said,EGY021,Port Said,Egypt
6996,BGD,Barishal,BGD001,Bhola,Bangladesh
7003,EGY,Suhag,EGY027,Tima,Egypt
7006,IRN,Khorasan,IRN016,Birjand,Iran
7008,IND,Rajasthan,IND029,Ajmer,India
7012,USA,Florida,USA010,Tampa,United States
7013,BRA,Sao Paulo,BRA029,Americana,Brazil
7015,COD,Nord-Kivu,COD009,Butembo,Democratic Republic of the Congo
7016,EGY,Suhag,EGY027,Tahta,Egypt
7018,RUS,Orenburgskaya Oblast,RUS056,Orenburg,Russia
7019,IRN,Kerman,IRN014,جیرفت,Iran
7021,IND,Gujarat,IND012,Vadodara,India
7022,BGD,Sylhet,BGD008,Shaistaganj,Bangladesh
7029,EGY,Suhag,EGY027,Al Harafsha,Egypt
7042,EGY,Ismailia,EGY012,Al Ismailiya,Egypt
7047,IND,Punjab,IND028,Patiala,India
7049,CHN,Sichuan Sheng,CHN026,Guangyuan,China
7050,IDN,Jawa Tengah,IDN013,Kudus,Indonesia
7052,BRA,Sao Paulo,BRA029,Sorocaba,Brazil
7054,COD,Nord-Kivu,COD009,Beni,Democratic Republic of the Congo
7057,RUS,Sverdlovskaya Oblast,RUS072,Yekaterinburg,Russia
7078,BRA,Sao Paulo,BRA029,Campinas,Brazil
7085,PAK,Punjab,PAK006,Sargodha,Pakistan
7086,IND,Rajasthan,IND029,Sikar,India
7090,USA,Tennessee,USA043,Nashville,United States
7092,NGA,Anambra,NGA004,Onitsha,Nigeria
7093,EGY,Suhag,EGY027,Suhaj,Egypt
7099,IND,Gujarat,IND012,Bharuch,India
7101,CHN,Sichuan Sheng,CHN026,Jianyang,China
7107,EGY,Suhag,EGY027,Al-Manshah,Egypt
7110,IRN,Kerman,IRN014,Narmashir,Iran
7118,NGA,Rivers,NGA033,Abonnema,Nigeria
7122,RUS,Chelyabinskaya Oblast,RUS013,Magnitogorsk,Russia
7131,NGA,Anambra,NGA004,Owerri,Nigeria
7132,EGY,Suez,EGY026,Suez,Egypt
7145,EGY,Suhag,EGY027,Girga,Egypt
7146,COD,Ituri,COD017,Bunia,Democratic Republic of the Congo
7147,ETH,Dire Dawa,ETH005,Dire Dawa,Ethiopia
7151,IND,Punjab,IND028,Chandigarh,India
7154,IDN,Jawa Timur,IDN015,Ponorogo,Indonesia
7162,IRN,Sistan-o baluchestan,IRN024,Zahedan,Iran
7163,PAK,Punjab,PAK006,Jhang,Pakistan
7164,IND,Gujarat,IND012,Ankleshwar,India
7167,IDN,Jawa Timur,IDN015,Madiun,Indonesia
7168,USA,Florida,USA010,Miami,United States
7170,NGA,Rivers,NGA033,Bugama,Nigeria
7171,EGY,Suhag,EGY027,Balyana,Egypt
7173,ETH,Harari,ETH007,Harar,Ethiopia
7174,RUS,Chelyabinskaya Oblast,RUS013,Chelyabinsk,Russia
7178,BGD,Sylhet,BGD008,Sylhet,Bangladesh
7181,USA,Minnesota,USA024,Minneapolis [Saint Paul],United States
7189,PAK,Punjab,PAK006,Khanewal,Pakistan
7192,CHN,Yunnan Sheng,CHN030,Chuxiong,China
7209,NGA,Rivers,NGA033,Port Harcourt,Nigeria
7219,USA,Georgia,USA011,Atlanta,United States
7222,EGY,Luxor,EGY015,Luxor,Egypt
7236,RUS,Khanty-mansyiskiy Okrug,RUS032,Khanty-Mansiysk,Russia
7239,IND,Rajasthan,IND029,RICCO Industrial Area,India
7243,USA,Florida,USA010,Orlando,United States
7246,EGY,Qena,EGY022,Qena,Egypt
7248,RUS,Tyumenskaya Oblast,RUS079,Tyumen,Russia
7252,CHN,Shaanxi Sheng,CHN022,Yan'an,China
7255,BRA,Sao Paulo,BRA029,Jundiaí,Brazil
7260,PAK,Punjab,PAK006,Bahawalpur,Pakistan
7262,BGD,Sylhet,BGD008,Moulvibazar,Bangladesh
7267,NGA,Federal Capital Territory,NGA015,Gwagwalada,Nigeria
7268,EGY,North Sinai,EGY020,Arish,Egypt
7269,ETH,Somali,ETH011,Jijiga,Ethiopia
7273,BGD,Sylhet,BGD008,Golapganj,Bangladesh
7275,IDN,Jawa Timur,IDN015,Tulungagung,Indonesia
7277,BRA,Sao Paulo,BRA029,São Paulo,Brazil
7278,NGA,Anambra,NGA004,Awka,Nigeria
7281,RUS,Kurganskaya Oblast,RUS040,Kurgan,Russia
7283,IND,Gujarat,IND012,Navsari,India
7286,IDN,Jawa Timur,IDN015,Nganjuk,Indonesia
7297,IDN,Jawa Timur,IDN015,Bojonegoro,Indonesia
7308,IDN,Jawa Timur,IDN015,Kediri,Indonesia
7311,NGA,Rivers,NGA033,Oyigbo,Nigeria
7318,CHN,Sichuan Sheng,CHN026,Ziyang,China
7322,NGA,Rivers,NGA033,Okrika,Nigeria
7327,IND,Haryana,IND013,Kaithal,India
7336,RUS,Omskaya Oblast,RUS055,Omsk,Russia
7338,IND,Gujarat,IND012,Valsad,India
7343,BRA,Sao Paulo,BRA029,Francisco Morato,Brazil
7344,NGA,Rivers,NGA033,Ogale,Nigeria
7345,EGY,Aswan,EGY003,Aswan,Egypt
7348,PAK,Punjab,PAK006,Gojra,Pakistan
7352,IDN,Jawa Timur,IDN015,Blitar,Indonesia
7353,USA,Florida,USA010,Jacksonville,United States
7356,EGY,Red Sea,EGY023,Hurghada,Egypt
7358,RUS,Novosibirskaya Oblast,RUS054,Novosibirsk,Russia
7361,BGD,Chattogram,BGD002,Feni,Bangladesh
7365,BRA,Maranhao,BRA010,São Luís,Brazil
7366,NGA,Niger,NGA027,Madalla,Nigeria
7368,RUS,Tomskaya Oblast,RUS076,Tomsk,Russia
7379,PAK,Punjab,PAK006,Chiniot,Pakistan
7383,IDN,Jawa Timur,IDN015,Pare,Indonesia
7386,NGA,Rivers,NGA033,Bonny,Nigeria
7390,IND,Gujarat,IND012,Godhra,India
7393,IDN,Jawa Timur,IDN015,Tuban,Indonesia
7395,BRA,Sao Paulo,BRA029,Praia Grande,Brazil
7398,RUS,Kemerovskaya Oblast,RUS029,Kemerovo,Russia
7399,PAK,Punjab,PAK006,Mandi Bahauddin,Pakistan
7406,NGA,Rivers,NGA033,Onne,Nigeria
7412,CHN,Shanxi Sheng,CHN025,Shuozhou,China
7413,IDN,Jawa Timur,IDN015,Jombang,Indonesia
7418,RUS,Altayskiy Kray,RUS004,Barnaul,Russia
7419,PAK,Punjab,PAK006,Jhelum,Pakistan
7424,USA,Kentucky,USA018,Louisville,United States
7425,BRA,Sao Paulo,BRA029,Santos,Brazil
7426,NGA,Imo,NGA017,Aboh,Nigeria
7428,PAK,Punjab,PAK006,Faisalabad,Pakistan
7429,IND,Gujarat,IND012,Vapi,India
7430,BGD,Chattogram,BGD002,Sandwip,Bangladesh
7438,IND,Maharashtra,IND021,Boisar,India
7439,BGD,Chattogram,BGD002,Chattogram,Bangladesh
7440,CHN,Shanxi Sheng,CHN025,Datong,China
7447,IND,Haryana,IND013,Ambala,India
7449,CHN,Shaanxi Sheng,CHN022,Hanzhong,China
7457,BGD,Chattogram,BGD002,Nazirhat,Bangladesh
7459,IDN,Jawa Timur,IDN015,Surabaya,Indonesia
7460,USA,Illinois,USA014,Aurora,United States
7465,IND,Rajasthan,IND029,Bhilwara,India
7468,IDN,Jawa Timur,IDN015,Malang,Indonesia
7470,BRA,Sao Paulo,BRA029,Sao Jose dos Campos,Brazil
7471,NGA,Federal Capital Territory,NGA015,Abuja,Nigeria
7472,RUS,Kemerovskaya Oblast,RUS029,Novokuznetsk,Russia
7474,IND,Himachal Pradesh,IND014,Shimla,India
7478,USA,Wisconsin,USA050,Madison,United States
7483,IND,Haryana,IND013,Jind,India
7487,USA,Illinois,USA014,Bolingbrook,United States
7489,NGA,Rivers,NGA033,Dere,Nigeria
7493,BGD,Chattogram,BGD002,Chandanaish,Bangladesh
7499,RUS,Krasnoyarskiy Kray,RUS039,Krasnoyarsk,Russia
7506,BRA,Sao Paulo,BRA029,Taubaté,Brazil
7508,RUS,Krasnoyarskiy Kray,RUS039,Rajon Swerdlowski,Russia
7513,IDN,Jawa Timur,IDN015,Gresik,Indonesia
7516,NGA,Kaduna,NGA019,Kaduna,Nigeria
7526,RUS,Khakasiya Rep.,RUS031,Abakan,Russia
7531,IDN,Jawa Timur,IDN015,Pasuruan,Indonesia
7532,USA,Illinois,USA014,Chicago,United States
7537,IND,Haryana,IND013,Bhiwani,India
7538,BGD,Chattogram,BGD002,Satkania,Bangladesh
7543,NGA,Abia,NGA001,Aba,Nigeria
7544,PAK,Punjab,PAK006,Shahkot,Pakistan
7545,RUS,Tyva Rep.,RUS080,Kyzyl,Russia
7546,IND,Dadra and Nagar Haveli,IND008,Silvassa,India
7559,USA,Indiana,USA015,Indianapolis,United States
7562,PAK,Punjab,PAK006,Burewala,Pakistan
7563,IND,Maharashtra,IND021,Vasai-Virar,India
7565,BGD,Chattogram,BGD002,Ramu,Bangladesh
7576,IDN,Jawa Timur,IDN015,Probolinggo,Indonesia
7577,USA,Kentucky,USA018,Lexington,United States
7582,RUS,Irkutskaya Oblast,RUS020,Zhilkino,Russia
7588,NGA,Enugu,NGA014,Nsukka,Nigeria
7589,PAK,Punjab,PAK006,Hafizabad,Pakistan
7590,IND,Haryana,IND013,Kurukshetra,India
7591,RUS,Irkutskaya Oblast,RUS020,Irkutsk,Russia
7599,IND,Maharashtra,IND021,Mumbai,India
7600,RUS,Buryatiya Rep.,RUS011,Ulan-Ude,Russia
7608,RUS,Sakha Rep.,RUS064,Yakutsk,Russia
7611,USA,Wisconsin,USA050,Milwaukee,United States
7616,RUS,Chitinskaya Oblast,RUS014,Chita,Russia
7625,RUS,Amurskaya Oblast,RUS005,Blagoveshchensk,Russia
7626,IDN,Jawa Timur,IDN015,Balung,Indonesia
7627,USA,Ohio,USA036,Cincinnati,United States
7633,RUS,Magadanskaya Oblast,RUS044,Magadan,Russia
7638,PAK,Punjab,PAK006,Sahiwal,Pakistan
7646,PAK,Punjab,PAK006,Gujrat,Pakistan
7649,RUS,Khabarovskiy Kray,RUS030,Khabarovsk,Russia
7652,BRA,Piaui,BRA022,Teresina,Brazil
7654,PAK,Punjab,PAK006,Jaranwala,Pakistan
7658,IDN,Jawa Timur,IDN015,Jember,Indonesia
7660,BRA,Minas Gerais,BRA013,Montes Claros,Brazil
7670,PAK,Punjab,PAK006,Wazirabad,Pakistan
7672,CHN,Sichuan Sheng,CHN026,Zigong,China
7673,RUS,Primorskiy Kray,RUS060,Vladivostok,Russia
7676,BRA,Minas Gerais,BRA013,Belo Horizonte,Brazil
7687,IND,Rajasthan,IND029,Jaipur,India
7697,RUS,Sakhalinskaya Oblast,RUS065,Yuzhno-Sakhalinsk,Russia
7698,IDN,Jawa Timur,IDN015,Sumenep,Indonesia
7701,NGA,Abia,NGA001,Umuahia,Nigeria
7706,RUS,Kamchatskaya Oblast,RUS026,АЗС,Russia
7711,IND,Haryana,IND013,Rohtak,India
7712,CHN,Sichuan Sheng,CHN026,Suining,China
7716,NGA,Enugu,NGA014,Enugu,Nigeria
7719,CHN,Shanxi Sheng,CHN025,Lüliang,China
7721,USA,Michigan,USA023,Grand Rapids,United States
7723,NGA,Katsina,NGA021,Katsina,Nigeria
7725,IND,Haryana,IND013,Karnal,India
7728,USA,Ohio,USA036,Urbancrest,United States
7735,USA,Ohio,USA036,Columbus,United States
7738,PAK,Punjab,PAK006,Gujranwala,Pakistan
7739,IND,Maharashtra,IND021,Kalyan-Dombivli,India
7748,IDN,Kalimantan Tengah,IDN021,Palangka Raya,Indonesia
7749,USA,Michigan,USA023,Lansing,United States
7750,BRA,Rio De Janeiro,BRA023,Volta Redonda,Brazil
7751,NGA,Nassarawa,NGA026,Ado,Nigeria
7760,IND,Gujarat,IND012,Dahod,India
7767,IND,Maharashtra,IND021,Panvel,India
7773,PAK,Punjab,PAK006,Okara,Pakistan
7774,IND,Haryana,IND013,Yamunanagar,India
7775,CHN,Shaanxi Sheng,CHN022,Xingping,China
7776,IDN,Bali,IDN017,Singaraja,Indonesia
7783,IDN,Bali,IDN017,Denpasar,Indonesia
7784,USA,Michigan,USA023,Detroit,United States
7788,IND,Haryana,IND013,Panipat,India
7790,IDN,Kalimantan Selatan,IDN022,Banjarmasin,Indonesia
7791,USA,North Carolina,USA034,Raleigh,United States
7794,PAK,Punjab,PAK006,Lahore,Pakistan
7799,BRA,Rio De Janeiro,BRA023,Rio de Janeiro,Brazil
7806,BRA,Minas Gerais,BRA013,Juiz de Fora,Brazil
7807,NGA,Kaduna,NGA019,Zaria,Nigeria
7822,PAK,Punjab,PAK006,Pakpattan,Pakistan
7829,PAK,Punjab,PAK006,Sialkot,Pakistan
7831,CHN,Sichuan Sheng,CHN026,Neijiang,China
7833,USA,Ohio,USA036,Cleveland,United States
7836,PAK,Punjab,PAK006,Daska,Pakistan
7847,USA,Pennsylvania,USA039,Pittsburgh,United States
7849,NGA,Akwa lbom,NGA003,Ikot Ekpene,Nigeria
7852,CHN,Yunnan Sheng,CHN030,Zhaotong,China
7857,PAK,Punjab,PAK006,Kamoke,Pakistan
7861,USA,Virginia,USA047,Richmond,United States
7867,IDN,Nusa Tenggara Barat,IDN018,Mataram,Indonesia
7882,USA,Virginia,USA047,Norfolk,United States
7883,BRA,Minas Gerais,BRA013,Ipatinga,Brazil
7890,BRA,Rio De Janeiro,BRA023,Niterói,Brazil
7898,NGA,Akwa lbom,NGA003,Abak,Nigeria
7902,IDN,Nusa Tenggara Barat,IDN018,Selong,Indonesia
7910,USA,Virginia,USA047,Washington,United States
7915,CHN,Shaanxi Sheng,CHN022,Xianyang,China
7920,PAK,Punjab,PAK006,Muridke,Pakistan
7929,CHN,Sichuan Sheng,CHN026,Bazhong City,China
7943,CHN,Sichuan Sheng,CHN026,Shunqing,China
7944,IDN,Kalimantan Timur,IDN023,Balikpapan,Indonesia
7949,IND,Haryana,IND013,Sonipat,India
7958,IDN,Kalimantan Timur,IDN023,Samarinda,Indonesia
7959,USA,Maryland,USA021,Baltimore,United States
7961,NGA,Akwa lbom,NGA003,Uyo,Nigeria
7963,IND,Uttar Pradesh,IND034,New Delhi,India
7976,PAK,Punjab,PAK006,Raiwind,Pakistan
7979,IDN,Kalimantan Utara,IDN024,Gunung Lingkas,Indonesia
7980,USA,New York,USA033,Buffalo,United States
7981,BRA,Pernambuco,BRA021,Petrolina,Brazil
7987,USA,Pennsylvania,USA039,Harrisburg,United States
7989,NGA,Akwa lbom,NGA003,Eket,Nigeria
7991,IND,Uttar Pradesh,IND034,Saharanpur,India
7995,BRA,Bahia,BRA005,Vitória da Conquista,Brazil
7999,CHN,Hebei Sheng,CHN010,Zhangjiakou,China
8006,CHN,Shaanxi Sheng,CHN022,Xi'an,China
8012,IND,Maharashtra,IND021,Nashik,India
8013,CHN,Yunnan Sheng,CHN030,Kunming,China
8025,PAK,Punjab,PAK006,Narowal,Pakistan
8029,USA,Pennsylvania,USA039,Philadelphia,United States
8035,IDN,Sulawesi Selatan,IDN027,Makassar,Indonesia
8037,BRA,Rio De Janeiro,BRA023,Campos dos Goytacazes,Brazil
8038,NGA,Ebonyi,NGA011,Abakaliki,Nigeria
8039,PAK,Punjab,PAK006,Kasur,Pakistan
8047,IND,Delhi,IND010,Rasoi,India
8052,NGA,Benue,NGA007,Otukpo,Nigeria
8054,IND,Rajasthan,IND029,Bhiwadi,India
8089,NGA,Katsina,NGA021,Daura,Nigeria
8093,USA,New Jersey,USA031,Trenton,United States
8101,NGA,Akwa lbom,NGA003,Oron,Nigeria
8102,IND,Rajasthan,IND029,Alwar,India
8120,IND,Uttarakhand,IND035,Dehradun,India
8124,BRA,Espirito Santo,BRA008,Colina de Laranjeiras,Brazil
8125,NGA,Kano,NGA020,Kano,Nigeria
8128,IDN,Sulawesi Tengah,IDN026,Palu,Indonesia
8133,CHN,Sichuan Sheng,CHN026,Longchang,China
8143,NGA,Cross River,NGA009,Calabar,Nigeria
8154,BRA,Ceara,BRA006,Fortaleza,Brazil
8156,IND,Madhya Pradesh,IND020,Ratlam,India
8169,CHN,Yunnan Sheng,CHN030,Yuxi,China
8190,BRA,Bahia,BRA005,Feira de Santana,Brazil
8197,NGA,Nassarawa,NGA026,Lafia,Nigeria
8201,USA,New York,USA033,Albany,United States
8203,NGA,Benue,NGA007,Makurdi,Nigeria
